listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt_name,nearest_mrt_exit,nearest_mrt_distance_m,num_mrt_within_1000m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m,nearest_hawker_name,nearest_hawker_distance_m,num_clinic_within_1000m,num_park_within_1000m,num_community_club_within_1000m,num_hawker_within_1000m,num_amenities_within_1000m
https://www.propertyguru.com.sg/listing/hdb-for-sale-226-jurong-east-street-21-500037503,"S$ 680,000",Bukit Batok,3,2,"1,292 sqft",,,HDB,500037503,226 Jurong East Street 21,600226,226 JURONG EAST STREET 21 SINGAPORE 600226,JURONG EAST STREET 21,1.341404713,103.7358435,CHINESE GARDEN MRT STATION,Exit C,273.3,1,,223.4,JLG: CG MRT TOL LINKWAY,389.2,Yuhua CC,208.7,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),312.3,18,4,2,2,26
https://www.propertyguru.com.sg/listing/hdb-for-sale-706-yishun-avenue-5-60226252,"S$ 528,888",Clementi,3,2,"1,001 sqft",Mid Floor,,HDB,60226252,706 Yishun Avenue 5,760706,706 YISHUN AVENUE 5 CHONG PANG GREEN SINGAPORE 760706,YISHUN AVENUE 5,1.428866921,103.828909,YISHUN MRT STATION,Exit A,656.4,1,,155.1,PLATINA RD PG,323.1,Chong Pang CC,220.3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),288.4,24,3,2,1,30
https://www.propertyguru.com.sg/listing/hdb-for-sale-116a-jalan-tenteram-500087239,"S$ 918,000",Clementi,3,2,"1,001 sqft",high floor,,HDB,500087239,116A Jalan Tenteram,321116,116A JALAN TENTERAM TENTERAM PEAK SINGAPORE 321116,JALAN TENTERAM,1.327053125,103.8605584,BOON KENG MRT STATION,Exit A,775.2,1,,61.4,MAR THOMA ROAD PARK,134.6,Whampoa CC,479.5,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),760,27,4,3,3,37
https://www.propertyguru.com.sg/listing/hdb-for-sale-512-bedok-north-avenue-2-60216167,"S$ 520,000",Bedok,3,2,990 sqft,,,HDB,60216167,512 Bedok North Avenue 2,460512,512 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460512,BEDOK NORTH AVENUE 2,1.333367155,103.9291777,BEDOK RESERVOIR MRT STATION,Exit A,528.2,1,,187.4,BEDOK TOWN PK,263.4,Kaki Bukit CC (U/C),259.5,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),157.1,28,2,4,4,38
https://www.propertyguru.com.sg/listing/hdb-for-sale-470-sembawang-drive-500093801,"S$ 538,000",Clementi,3,2,969 sqft,High Floor,,HDB,500093801,470 Sembawang Drive,750470,470 SEMBAWANG DRIVE SINGAPORE 750470,SEMBAWANG DRIVE,1.451576162,103.8151574,SEMBAWANG MRT STATION,Exit C,577.7,1,,251.9,PARK AT SEMBAWANG ALLEY,493.1,Canberra CC,867.4,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2677.9,11,2,1,0,14
https://www.propertyguru.com.sg/listing/hdb-for-sale-470-sembawang-drive-500093801,"S$ 538,000",Clementi,3,2,969 sqft,High Floor,,HDB,500093801,470 Sembawang Drive,750470,470 SEMBAWANG DRIVE SINGAPORE 750470,SEMBAWANG DRIVE,1.451576162,103.8151574,SEMBAWANG MRT STATION,Exit C,577.7,1,,251.9,PARK AT SEMBAWANG ALLEY,493.1,Canberra CC,867.4,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2677.9,11,2,1,0,14
https://www.propertyguru.com.sg/listing/hdb-for-sale-464b-clementi-avenue-1-500071716,"S$ 1,280,000",Clementi,3,2,"1,023 sqft",High Floor,,HDB,500071716,464B Clementi Avenue 1,122464,464B CLEMENTI AVENUE 1 CLEMENTI PEAKS SINGAPORE 122464,CLEMENTI AVENUE 1,1.310137435,103.7679728,CLEMENTI MRT STATION,Exit C,509.2,1,,85.3,TAMAN MAS MERAH PLAYGROUND,359.5,West Coast CC,899.1,Clementi Ave 3 Blk 448,521.3,25,4,2,4,35
https://www.propertyguru.com.sg/listing/hdb-for-sale-211-jurong-east-street-21-60217138,"S$ 400,000",Bukit Batok,2,2,721 sqft,,,HDB,60217138,211 Jurong East Street 21,600211,211 JURONG EAST STREET 21 SINGAPORE 600211,JURONG EAST STREET 21,1.338669111,103.7402925,JURONG EAST MRT STATION,Exit A,542.6,2,,242.3,CHINESE GARDENS,824.1,Yuhua CC,386.9,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),603.9,21,3,1,1,26
https://www.propertyguru.com.sg/listing/hdb-for-sale-14-dover-close-east-500040733,"S$ 938,000",Bukit Merah,3,2,"1,281 sqft",high floor,,HDB,500040733,14 Dover Close East,130014,14 DOVER CLOSE EAST DOVER HEIGHTS SINGAPORE 130014,DOVER CLOSE EAST,1.305563812,103.7855952,BUONA VISTA MRT STATION,Exit A,573.6,2,,229.7,ONE-NORTH PARK,246.4,Dover CC,423.6,Ghim Moh Road Blk 20,668.5,15,5,3,2,25
https://www.propertyguru.com.sg/listing/hdb-for-sale-588d-ang-mo-kio-street-52-500066200,"S$ 1,180,000",Ang Mo Kio,3,2,980 sqft,,,HDB,500066200,588D Ang Mo Kio Street 52,564588,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,ANG MO KIO STREET 52,1.371754007,103.8538833,ANG MO KIO MRT STATION,Exit D,496.8,1,,97.1,ANG MO KIO TOWN GARDEN EAST,263.6,Cheng San CC (Pending U/C),480,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),129.5,29,3,2,3,37
