listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt,nearest_exit,nearest_mrt_distance_m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m
https://www.propertyguru.com.sg/listing/hdb-for-sale-116a-jalan-tenteram-500087239,"S$ 918,000",Clementi,3,2.0,"1,001 sqft",high floor,,HDB,500087239,116A Jalan Tenteram,321116.0,116A JALAN TENTERAM TENTERAM PEAK SINGAPORE 321116,JALAN TENTERAM,1.3270531250321,103.860558381575,BOON KENG MRT STATION,Exit A,779.4834946782352,kml_1042,61.4,MAR THOMA ROAD PARK,134.6,Whampoa CC,479.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-512-bedok-north-avenue-2-60216167,"S$ 520,000",Bedok,3,2.0,990 sqft,,,HDB,60216167,512 Bedok North Avenue 2,460512.0,512 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460512,BEDOK NORTH AVENUE 2,1.33336715518929,103.929177675999,BEDOK RESERVOIR MRT STATION,Exit A,529.0157750769325,kml_473,187.4,BEDOK TOWN PK,263.4,Kaki Bukit CC (U/C),259.5
https://www.propertyguru.com.sg/listing/hdb-for-sale-470-sembawang-drive-500093801,"S$ 538,000",Clementi,3,2.0,969 sqft,High Floor,,HDB,500093801,470 Sembawang Drive,750470.0,470 SEMBAWANG DRIVE SINGAPORE 750470,SEMBAWANG DRIVE,1.45157616201366,103.81515743452,SEMBAWANG MRT STATION,Exit C,577.9319237316435,kml_1111,251.9,PARK AT SEMBAWANG ALLEY,493.1,Canberra CC,867.4
https://www.propertyguru.com.sg/listing/hdb-for-sale-470-sembawang-drive-500093801,"S$ 538,000",Clementi,3,2.0,969 sqft,High Floor,,HDB,500093801,470 Sembawang Drive,750470.0,470 SEMBAWANG DRIVE SINGAPORE 750470,SEMBAWANG DRIVE,1.45157616201366,103.81515743452,SEMBAWANG MRT STATION,Exit C,577.9319237316435,kml_553,251.9,PARK AT SEMBAWANG ALLEY,493.1,Canberra CC,867.4
https://www.propertyguru.com.sg/listing/hdb-for-sale-464b-clementi-avenue-1-500071716,"S$ 1,280,000",Clementi,3,2.0,"1,023 sqft",High Floor,,HDB,500071716,464B Clementi Avenue 1,122464.0,464B CLEMENTI AVENUE 1 CLEMENTI PEAKS SINGAPORE 122464,CLEMENTI AVENUE 1,1.31013743458055,103.767972774309,CLEMENTI MRT STATION,Exit C,511.2364975666532,kml_599,85.3,TAMAN MAS MERAH PLAYGROUND,359.5,West Coast CC,899.1
https://www.propertyguru.com.sg/listing/hdb-for-sale-211-jurong-east-street-21-60217138,"S$ 400,000",Bukit Batok,2,2.0,721 sqft,,,HDB,60217138,211 Jurong East Street 21,600211.0,211 JURONG EAST STREET 21 SINGAPORE 600211,JURONG EAST STREET 21,1.33866911059386,103.740292528065,JURONG EAST MRT STATION,Exit A,545.3063926683598,kml_228,242.3,CHINESE GARDENS,824.1,Yuhua CC,386.9
https://www.propertyguru.com.sg/listing/hdb-for-sale-14-dover-close-east-500040733,"S$ 938,000",Bukit Merah,3,2.0,"1,281 sqft",high floor,,HDB,500040733,14 Dover Close East,130014.0,14 DOVER CLOSE EAST DOVER HEIGHTS SINGAPORE 130014,DOVER CLOSE EAST,1.30556381153272,103.785595231093,BUONA VISTA MRT STATION,Exit A,573.4444652560566,kml_1133,229.7,ONE-NORTH PARK,246.4,Dover CC,423.6
https://www.propertyguru.com.sg/listing/hdb-for-sale-588d-ang-mo-kio-street-52-500066200,"S$ 1,180,000",Ang Mo Kio,3,2.0,980 sqft,,,HDB,500066200,588D Ang Mo Kio Street 52,564588.0,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,ANG MO KIO STREET 52,1.37175400663025,103.8538833087,ANG MO KIO MRT STATION,Exit D,496.867357391587,kml_466,97.1,ANG MO KIO TOWN GARDEN EAST,263.6,Cheng San CC (Pending U/C),480.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-588d-ang-mo-kio-street-52-500066200,"S$ 1,180,000",Ang Mo Kio,3,2.0,980 sqft,,,HDB,500066200,588D Ang Mo Kio Street 52,564588.0,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,ANG MO KIO STREET 52,1.37175400663025,103.8538833087,ANG MO KIO MRT STATION,Exit D,496.867357391587,kml_1162,97.1,ANG MO KIO TOWN GARDEN EAST,263.6,Cheng San CC (Pending U/C),480.0
https://www.propertyguru.com.sg/listing/hdb-for-sale-489-admiralty-link-60208421,"S$ 599,999",Clementi,3,2.0,"1,033 sqft",High floor,,HDB,60208421,489 Admiralty Link,750489.0,489 ADMIRALTY LINK SEMBAWANG GREEN SINGAPORE 750489,ADMIRALTY LINK,1.45495119192133,103.816819778829,SEMBAWANG MRT STATION,Exit C,722.4061571420384,kml_376,182.8,PARK AT SEMBAWANG ALLEY,703.1,Canberra CC,1134.6
https://www.propertyguru.com.sg/listing/hdb-for-sale-312-bukit-batok-street-32-500019442,"S$ 430,000",Bukit Batok,2,2.0,732 sqft,,,HDB,500019442,312 Bukit Batok Street 32,650312.0,312 BUKIT BATOK STREET 32 SINGAPORE 650312,BUKIT BATOK STREET 32,1.35987875096146,103.74733565667,BUKIT GOMBAK MRT STATION,Exit C,496.4313001714229,kml_613,380.0,BUKIT BATOK TOWN PARK,696.0,Hong Kah North CC,252.9
