address,latitude,longitude,matched_address,status
428 ANG MO KIO AVE 3,1.36893906457102,103.854412288513,428 ANG MO KIO AVENUE 3 CHONG BOON HEIGHTS SINGAPORE 560428,ok
573 ANG MO KIO AVE 3,1.37056143999067,103.854823102785,573 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560573,ok
418 ANG MO KIO AVE 10,1.3649460137791,103.854043379775,418 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560418,ok
324 ANG MO KIO AVE 3,1.36833392201705,103.846879231399,324 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560324,ok
596B ANG MO KIO ST 52,1.37205123278789,103.850545847531,596B ANG MO KIO STREET 52 CITY VIEW @ CHENG SAN SINGAPORE 562596,ok
234 ANG MO KIO AVE 3,1.36718287740141,103.836639986274,234 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560234,ok
648 ANG MO KIO AVE 5,1.37823859353841,103.843719728887,648 ANG MO KIO AVENUE 5 ANG MO KIO 61 SINGAPORE 560648,ok
253A ANG MO KIO ST 21,1.36994640110529,103.834284522299,253A ANG MO KIO STREET 21 SINGAPORE 561253,ok
439 ANG MO KIO AVE 10,1.36629197864802,103.85349630883,439 ANG MO KIO AVENUE 10 SINGAPORE 560439,ok
306 ANG MO KIO AVE 1,1.36572552222846,103.845750564626,306 ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 560306,ok
729 ANG MO KIO AVE 6,1.3738661404098,103.845935822176,729 ANG MO KIO AVENUE 6 SINGAPORE 560729,ok
315B ANG MO KIO ST 31,1.36402757273373,103.847478724527,315B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563315,ok
700C ANG MO KIO AVE 6,1.36944159368432,103.84648823913,700C ANG MO KIO AVENUE 6 AMK CENTRAL HEIGHTS SINGAPORE 563700,ok
620 BEDOK RESERVOIR RD,1.33433432226397,103.917712559288,620 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470620,ok
38 BEDOK STH RD,1.32082560856834,103.938994585574,38 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460038,ok
504 BEDOK NTH ST 3,1.33188000305479,103.932389359044,504 BEDOK NORTH STREET 3 KAKI BUKIT VILLE SINGAPORE 460504,ok
545 BEDOK NTH ST 3,1.3300514240201,103.924118031423,545 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460545,ok
546 BEDOK NTH ST 3,1.33082005919243,103.925595840288,546 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460546,ok
18 BEDOK STH RD,1.32062504871279,103.934734222428,18 BEDOK SOUTH ROAD SINGAPORE 460018,ok
550 BEDOK NTH AVE 1,1.3326931795279,103.926617402908,550 BEDOK NORTH AVENUE 1 SINGAPORE 460550,ok
502 BEDOK NTH ST 3,1.331245062192,103.931244293846,502 BEDOK NORTH STREET 3 KAKI BUKIT VILLE SINGAPORE 460502,ok
509 BEDOK NTH ST 3,1.33317541870197,103.931265025162,509 BEDOK NORTH STREET 3 SINGAPORE 460509,ok
525 BEDOK NTH ST 3,1.33460113941761,103.929445271638,525 BEDOK NORTH STREET 3 SINGAPORE 460525,ok
534 BEDOK NTH ST 3,1.33303698213001,103.924812248346,534 BEDOK NORTH STREET 3 SINGAPORE 460534,ok
542 BEDOK NTH ST 3,1.33066590908483,103.922843972485,542 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460542,ok
76 BEDOK NTH RD,1.3282966654865,103.942067527916,76 BEDOK NORTH ROAD SINGAPORE 460076,ok
709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667,709 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470709,ok
703 BEDOK RESERVOIR RD,1.33716507441516,103.919893055357,703 BEDOK RESERVOIR ROAD RESERVOIR RISE SINGAPORE 470703,ok
27 NEW UPP CHANGI RD,1.32412432931246,103.934921045772,27 NEW UPPER CHANGI ROAD SINGAPORE 462027,ok
42 CHAI CHEE ST,1.32797877350561,103.925804792632,42 CHAI CHEE STREET PING YI GARDENS SINGAPORE 461042,ok
426 BEDOK NTH RD,1.32980063275837,103.928985674792,426 BEDOK NORTH ROAD GARDEN HILL SINGAPORE 460426,ok
530 BEDOK NTH ST 3,1.33371332018833,103.927020293564,530 BEDOK NORTH STREET 3 SINGAPORE 460530,ok
420 BEDOK NTH ST 1,1.32774467875638,103.928874390405,420 BEDOK NORTH STREET 1 GARDEN HILL SINGAPORE 460420,ok
105 BEDOK NTH AVE 4,1.33368859457924,103.936473903592,105 BEDOK NORTH AVENUE 4 NKF DIALYSIS CENTRE SINGAPORE 460105,ok
519 BEDOK NTH AVE 1,1.33087614142097,103.928059854349,519 BEDOK NORTH AVENUE 1 SINGAPORE 460519,ok
548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703,548 BEDOK NORTH AVENUE 1 SINGAPORE 460548,ok
537 BEDOK NTH ST 3,1.33177300757048,103.924236461237,537 BEDOK NORTH STREET 3 SINGAPORE 460537,ok
28 NEW UPP CHANGI RD,1.32369451969703,103.934994919422,28 NEW UPPER CHANGI ROAD SINGAPORE 460028,ok
100 BEDOK NTH AVE 4,1.33413899974038,103.938389713003,100 BEDOK NORTH AVENUE 4 BEDOK POND 1 SINGAPORE 460100,ok
103 BEDOK RESERVOIR RD,1.32877022232019,103.909381354431,103 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470103,ok
522 BEDOK NTH AVE 1,1.33066302927677,103.92698039611,522 BEDOK NORTH AVENUE 1 SINGAPORE 460522,ok
551 BEDOK NTH AVE 1,1.33226851755603,103.927036580009,551 BEDOK NORTH AVENUE 1 SINGAPORE 460551,ok
608 BEDOK RESERVOIR RD,1.33184129947186,103.913196235939,608 BEDOK RESERVOIR ROAD EUNOS RAINBOW SINGAPORE 470608,ok
135 BEDOK NTH ST 2,1.32873535148094,103.936506738278,135 BEDOK NORTH STREET 2 SINGAPORE 460135,ok
